#{"t_start": 1743685495.1561525, "env_id": "LanguageLearningEnv-v0"}
r,l,t
558.0,41,5.960799
597.0,51,5.967304
537.0,43,5.974827
562.0,41,5.98291
488.0,41,5.988889
505.0,42,5.994506
642.0,45,6.000047
598.0,46,6.007092
591.0,52,6.013579
560.0,42,6.018578
591.0,41,6.024102
683.0,53,6.030616
541.0,41,6.035621
541.0,43,6.041238
566.0,51,6.048246
551.0,41,6.053829
537.0,41,6.058826
544.0,41,6.063961
514.0,42,6.069963
584.0,53,6.076546
498.0,41,6.0811
598.0,51,6.088136
483.0,43,6.245164
490.0,44,6.279723
531.0,43,6.316286
-24.0,4,6.318286
536.0,41,6.349838
600.0,42,6.391891
511.0,41,6.43599
710.0,52,6.487068
527.0,42,6.520131
582.0,41,6.552696
605.0,42,6.591271
570.0,41,6.642701
563.0,43,6.688077
629.0,42,6.724797
571.0,46,6.768379
562.0,44,6.816641
653.0,51,6.878307
565.0,53,6.936463
564.0,52,6.992098
537.0,41,7.036215
625.0,52,7.096876
605.0,41,7.136963
511.0,42,7.178541
530.0,41,7.213615
587.0,51,7.263709
536.0,42,7.300776
454.0,41,7.339842
572.0,41,7.377924
526.0,47,7.423525
586.0,51,7.489715
551.0,42,7.554908
-28.0,4,7.559907
609.0,45,7.630595
573.0,41,7.683751
579.0,41,7.751446
606.0,49,7.81508
612.0,41,7.86269
652.0,52,8.120301
627.0,41,8.160375
597.0,56,8.213511
528.0,43,8.258606
595.0,41,8.30374
545.0,41,8.349829
526.0,42,8.384398
586.0,41,8.427485
546.0,43,8.470075
582.0,42,8.508149
508.0,41,8.545221
551.0,42,8.58381
608.0,43,8.627884
11.0,13,8.639909
635.0,44,8.686496
595.0,42,8.730074
558.0,46,8.771667
538.0,43,8.816772
604.0,51,8.877575
21.0,11,8.890273
582.0,41,8.92784
-10.0,6,8.932351
525.0,41,8.970448
582.0,41,9.013576
584.0,41,9.053634
607.0,41,9.09021
596.0,41,9.132272
588.0,45,9.171852
530.0,43,9.212919
545.0,51,9.256973
544.0,44,9.300054
547.0,41,9.344178
606.0,41,9.37827
-20.0,8,9.386797
594.0,44,9.430434
569.0,41,9.465022
562.0,44,9.507649
590.0,41,9.543708
532.0,42,9.581303
549.0,41,9.615863
545.0,42,9.654942
589.0,41,9.837165
613.0,41,9.879739
669.0,51,9.937894
544.0,47,9.986054
459.0,41,10.027142
491.0,41,10.061229
689.0,52,10.10834
565.0,41,10.151973
549.0,43,10.197079
552.0,51,10.254236
529.0,41,10.293339
569.0,41,10.334142
589.0,52,10.380718
618.0,48,10.423791
489.0,43,10.463853
685.0,51,10.513426
673.0,53,10.557483
547.0,42,10.889759
595.0,41,10.932529
641.0,51,10.980131
610.0,42,11.02023
586.0,41,11.069132
506.0,41,11.11714
639.0,42,11.155778
601.0,41,11.194239
525.0,43,11.241378
614.0,42,11.284958
631.0,51,11.331547
587.0,41,11.368109
560.0,41,11.434286
540.0,41,11.480866
663.0,51,11.526934
660.0,41,11.574553
563.0,41,11.611628
633.0,42,11.653699
573.0,41,11.689752
518.0,42,11.732367
582.0,43,11.772973
605.0,51,11.839148
571.0,41,11.882288
552.0,41,11.924383
476.0,41,11.973543
586.0,41,12.028148
605.0,43,12.076277
622.0,52,12.127852
512.0,41,12.174941
601.0,41,12.211995
560.0,44,12.253046
570.0,41,12.302148
528.0,41,12.343251
533.0,41,12.378338
630.0,46,12.422968
577.0,42,12.464045
239.0,22,12.485581
620.0,51,12.531155
584.0,42,12.576754
566.0,41,12.611841
542.0,41,12.648396
569.0,51,12.693502
628.0,41,12.734574
569.0,41,12.788713
599.0,41,12.857397
576.0,41,12.915087
687.0,51,13.003187
605.0,41,13.059771
527.0,42,13.105907
684.0,51,13.158536
594.0,43,13.203663
602.0,52,13.266796
637.0,57,13.32825
606.0,41,13.367887
540.0,41,13.413983
601.0,52,13.461235
576.0,41,13.497256
541.0,41,13.538015
571.0,47,13.58404
560.0,43,13.625695
607.0,41,13.666108
605.0,42,13.715653
653.0,41,13.755919
582.0,41,13.799031
513.0,41,13.843675
590.0,41,13.892812
630.0,42,13.9329
604.0,43,13.976486
568.0,41,14.01559
541.0,42,14.056657
634.0,52,14.105754
546.0,41,14.14281
670.0,51,14.18988
580.0,41,14.230522
629.0,53,14.287686
539.0,41,14.32475
497.0,43,14.368807
554.0,42,14.414663
577.0,41,14.465563
561.0,43,14.507132
609.0,41,14.55377
573.0,42,14.590323
597.0,53,14.651505
686.0,51,14.862164
614.0,42,14.920756
223.0,22,14.942791
573.0,48,14.996894
